title,channel_title,category,views,likes,comment_count,engagement_rate,like_ratio,sentiment,publish_country,published_day_of_week,publish_hour,title_length,tag_count
KUWTK | Khloe Tries to Help Kourtney & Scott Hash Out Their Drama | E!,E! Entertainment,Entertainment,673269,5637,462,0.0091,0.9647,positive,GB,Thursday,14,70,28
PROJECT PELICAN - This is Bigger than Uranium One Deal - Must See,Voice America,News & Politics,80627,1965,451,0.03,0.9642,neutral,CANADA,Thursday,14,65,8
Full Face Using Only Latina Products,Pero Like,People & Blogs,306854,11407,787,0.0397,0.9739,neutral,US,Wednesday,21,36,26
"We Need To Talk About The Trump Fake News War, Escalation, Exploitation, and Much More...",Philip DeFranco,Entertainment,755828,44401,11446,0.0739,0.9632,negative,CANADA,Friday,21,89,42
Teaser | Just Listen | Sidhu Moose Wala ft. Sunny Malton | BYG BYRD | Releasing On 5th Jan,Humble Music,Music,611765,11370,1186,0.0205,0.7962,positive,CANADA,Tuesday,2,90,19
Everything Wrong With Ferdinand In 16 Minutes Or Less,CinemaSins,Film & Animation,1626811,29863,4185,0.0209,0.9449,negative,US,Tuesday,15,53,10
'Fear of Horses' | The Royal Wedding Live with Cord & Tish | HBO,HBO,Film & Animation,93646,654,51,0.0075,0.9506,negative,CANADA,Saturday,19,64,33
#58: WOULDYOUREACT au JT de FRANCE2 (Exp. Sociale),Would You React ?,Education,74804,5349,369,0.0764,0.9885,positive,FRANCE,Wednesday,11,50,11
CÌ§ukur 30. BÃ¶lÃ¼m,Ã‡ukur,People & Blogs,289570,4223,900,0.0177,0.919,neutral,CANADA,Monday,21,19,15
If Commercials were Real Life - Daytona 500/Apple iPad,Zebra Corner,Comedy,1730034,56770,3147,0.0346,0.9686,neutral,US,Friday,14,54,12
COLLEGE KIDS REACT TO TOP 10 SONGS OF 2017 (Billboard Hot 100),FBE,Entertainment,1417921,45508,14385,0.0422,0.979,positive,CANADA,Thursday,22,62,31
DALS S08 - Correspon-Danse : Ce que vous devez absolument avoir vu !,Danse avec les stars,Entertainment,39359,1045,21,0.0271,0.9943,neutral,FRANCE,Tuesday,13,68,11
Top 10 des CÃ‰LÃ‰BRITÃ‰S les plus Ã‰TRANGES du MONDE !,WatchMojo FranÃ§ais,Entertainment,80068,2481,313,0.0349,0.9408,positive,CANADA,Thursday,14,54,20
"Mustard, Nick Jonas - Anywhere",MustardVEVO,Music,1825418,43416,1149,0.0244,0.9833,neutral,GB,Tuesday,12,30,9
[MV] ì´ë‹¬ì˜ ì†Œë…€ yyxy (LOONA/yyxy) love4eva (feat. Grimes),loonatheworld,Entertainment,836959,66290,11223,0.0926,0.9874,negative,GB,Wednesday,9,63,17
Peeing On The Seat,Gus Johnson,Comedy,123280,8785,743,0.0773,0.9413,neutral,US,Wednesday,15,18,20
TASTING ICELANDIC CANDIES (ft. Jeanine Amapola) | Collabmas Day 4,DamonAndJo,Comedy,28894,1377,119,0.0518,0.9609,neutral,US,Saturday,19,65,28
BOMBSHELL: Mueller Subpoenas Trump Organization,The Young Turks,News & Politics,165425,3042,1573,0.0279,0.9241,neutral,CANADA,Friday,0,47,33
Enter Japanâ€™s Bizarre Museum of Rocks With Faces,Great Big Story,People & Blogs,99179,2404,232,0.0266,0.9784,negative,US,Wednesday,7,50,19
Stephen Hawking 03/15/18 Last Week Tonight with John Oliver,jugoboy1605,Comedy,23702,144,18,0.0068,0.8471,neutral,CANADA,Thursday,16,59,7
How one scientist averted a national health crisis - Andrea Tone,TED-Ed,Education,332002,17462,1158,0.0561,0.9655,negative,US,Thursday,15,64,17
Dura - Daddy Yankee (Video Oficial),Daddy Yankee,Music,12159067,316948,20973,0.0278,0.972,neutral,GB,Thursday,22,35,20
Not Everyone Should Code,PolyMatter,Education,594031,23586,2638,0.0441,0.9262,neutral,US,Friday,15,24,49
Kill The Noise & Illenium - Donâ€™t Give Up On Me ft. Mako [Lyric Video],Proximity,Entertainment,3487437,37052,1496,0.0111,0.9422,negative,GB,Tuesday,13,72,21
The Liger Delusion,vlogbrothers,People & Blogs,144750,12187,1050,0.0914,0.9924,neutral,CANADA,Tuesday,19,18,9
Carrie Underwood - Cry Pretty (Official Music Video),carrieunderwoodVEVO,Music,3267575,46924,2729,0.0152,0.9511,neutral,US,Monday,1,52,15
Impressive Kookaburra call,Eva Lunde Bentley,Film & Animation,42513,854,120,0.0229,0.9907,positive,US,Tuesday,8,26,5
Do Essential Oils Really Work? And Why?,SciShow,Education,84572,3555,446,0.0473,0.9834,neutral,CANADA,Thursday,21,39,20
Parked In My Spot,Domics,Comedy,2535527,148451,11754,0.0632,0.9858,neutral,US,Tuesday,1,17,9
20 ASTUCES FOLLES QUI MARCHENT COMME PAR MAGIE,BRICO SYMPA,Howto & Style,4899,194,42,0.0482,0.9463,neutral,FRANCE,Monday,19,46,48
Ang Sagot ni Kris Aquino sa Matapang na Response ni Mocha Uson sa kanyang Hamon,Starbites Philippines,Entertainment,284565,4168,3647,0.0275,0.7231,neutral,CANADA,Wednesday,10,79,2
Monologue: The Trump Temp Agency | Real Time with Bill Maher (HBO),Real Time with Bill Maher,Film & Animation,619292,6469,879,0.0119,0.9596,neutral,CANADA,Saturday,4,66,21
Guess the movie in 4 words! (YIAY #418),jacksfilms,Comedy,1075150,50534,18981,0.0647,0.9802,neutral,US,Friday,18,39,18
The 5 Most RANDOM All Stars in NBA History!,Mike Korzemba,Sports,650758,17503,2437,0.0306,0.9742,neutral,CANADA,Tuesday,0,43,19
Johnny Hallyday: LaetiÂ­cia sâ€™est expliquÃ©e avec David et Laura avant lâ€™ente,Les News,News & Politics,93614,206,18,0.0024,0.7715,neutral,FRANCE,Wednesday,19,81,21
Real Madrid vs Bayern Munich 2-2 - All Goals & Highlights - VIDEO RESUMEN HD,PIENSA PRIMERO,Entertainment,65352,185,16,0.0031,0.3339,neutral,FRANCE,Tuesday,22,76,32
KYLE - Playinwitme feat. Kehlani,SuperDuperKyle,Music,284732,15098,992,0.0565,0.9845,neutral,GB,Tuesday,16,32,17
Official Call of DutyÂ®: WWII - Operation: Shamrock & Awe Trailer,Call of Duty,Gaming,246209,13056,2819,0.0645,0.9293,neutral,GB,Tuesday,17,65,5
VIRÃ‰E AU LAS VEGAS FILMIQUE,Le Fossoyeur de Films,Film & Animation,70012,6136,253,0.0913,0.9938,neutral,FRANCE,Friday,16,28,17
Lucas the Spider - Musical Spider,Lucas the Spider,Film & Animation,9631547,404790,29952,0.0451,0.9795,neutral,GB,Saturday,21,33,5
"TV Reporter Interviews Alleged Bank Robber, Then Helps Police Catch Him",Inside Edition,News & Politics,289827,1883,346,0.0077,0.9276,negative,GB,Friday,1,71,17
I Made Yeezys Using a 3D PEN!,Guava Juice,Entertainment,1147085,59330,8062,0.0588,0.9675,neutral,CANADA,Tuesday,19,29,30
Sir Elton John Is Ready to Retire From Touring but He's Going Out With a Bang! | Lorraine,Lorraine,Entertainment,22732,157,0,0.0069,0.9235,positive,GB,Thursday,15,89,12
Walking while black,Vox,News & Politics,1051339,34531,9059,0.0415,0.7995,neutral,GB,Thursday,12,19,35
Kendall Jenner Asks Herself Some Existential Questions | Vogue,Vogue,Entertainment,800108,27281,2268,0.0369,0.8317,neutral,US,Wednesday,15,62,27
BientÃ´t la fin de l'humanitÃ© ?,phenotiks Evolution,News & Politics,8609,278,188,0.0541,0.8399,neutral,FRANCE,Thursday,9,32,48
SWAN THE VOICE // LE GROS DIRECT DU MERCREDI #LEGO NINJAGO,Gu'Live,Entertainment,42997,2141,95,0.052,0.855,neutral,FRANCE,Wednesday,16,58,7
Les ERREURS dans le PÃ¨re Noel est une ordure (Kloug inclus) - FAUX RACCORD,AlloCinÃ© - la chaÃ®ne officielle,Film & Animation,88305,3277,113,0.0384,0.9806,neutral,FRANCE,Saturday,9,75,5
Kacey Musgraves - High Horse (Lyric Video),KaceyMusgravesVEVO,Music,462677,6887,564,0.0161,0.9318,neutral,US,Thursday,15,42,7
"THE MAN WHO KILLED DON QUIXOTE Trailer # 2  (NEW 2018) Adam Driver, Terry Gilliam Movie HD",ONE Media,Film & Animation,188518,1524,180,0.009,0.9627,negative,GB,Monday,12,90,12
"Palace 1 - Appelez-moi l'directeur - Le rÃªve (Khorsand, Philippot)",malfecha,Comedy,38370,42,4,0.0012,0.9545,neutral,FRANCE,Thursday,17,67,1
DINOSAUR YOGA CHALLENGE!!,Liza Koshy Too,Comedy,2176830,204246,8366,0.0977,0.992,positive,US,Sunday,23,25,30
Bono and Chris Martin Sing 'One for My Baby' with Sean Penn Cameo,Jimmy Kimmel Live,Entertainment,64115,1090,112,0.0187,0.9793,neutral,GB,Wednesday,8,65,33
Ethan Hawke Knows To Seek Knowledge From Masters,The Late Show with Stephen Colbert,Entertainment,328911,3591,405,0.0121,0.9497,neutral,US,Tuesday,7,48,27
PARK : RETOUR CHEZ LE VÃ‰TÃ‰RINAIRE ... ðŸ¾â¤ï¸,MrRatSuper Life,Pets & Animals,9077,982,122,0.1216,0.9929,neutral,FRANCE,Sunday,14,50,29
Body Language:  Trump Soros at Davos,Bombard's Body Language,Entertainment,31550,1948,678,0.0832,0.9764,neutral,CANADA,Monday,20,36,0
TOKOMI WAPI 24 03 2018 BANA SELEMBAO BA YAMBI NDEKO ELIEZER NASE YA MVULA,NDEKO ELIEZER TOKOKOMA,News & Politics,23037,383,98,0.0209,0.9551,neutral,FRANCE,Monday,17,73,0
Â£1.95 Chocolate Vs. Â£300 Chocolate,BuzzFeedVideo,People & Blogs,764227,20556,2002,0.0295,0.9067,neutral,CANADA,Sunday,17,36,35
Nicki Minaj - Chun-Li (Live on SNL / 2018),NickiMinajAtVEVO,Music,3268630,161444,17190,0.0547,0.956,neutral,CANADA,Sunday,7,42,9
"Responding to ALL The Outrage, Ridiculous H3H3 Tweet Controversy and More...",Philip DeFranco,News & Politics,1335225,60694,10150,0.0531,0.9747,negative,CANADA,Friday,19,76,17
RAMPAGE - OFFICIAL TRAILER 1 [HD],Warner Bros. Pictures,Entertainment,11072585,119371,20757,0.0127,0.9199,neutral,US,Thursday,21,33,32
Cleveland Cavaliers vs Miami Heat Full Game Highlights / Week 7 / 2017 NBA Season,MLG Highlights,Sports,520378,2934,728,0.007,0.9579,neutral,CANADA,Wednesday,2,81,22
"Tyler 'Ninja' Blevins Talks Fortnite, Making Money On Twitch And More | CNBC",CNBC,News & Politics,1342025,39664,4558,0.033,0.9649,neutral,CANADA,Monday,16,76,30
JE RÃ‰ALISE LE RÃŠVE DE JHON RACHID (NORMAN),NORMAN FAIT DES VIDÃ‰OS,Comedy,2742052,238609,7697,0.0898,0.991,neutral,CANADA,Saturday,16,44,37
The Ultimate Paper Airplane | WIRED,WIRED,Science & Technology,867075,23631,2001,0.0296,0.9871,neutral,US,Wednesday,17,35,30
[SHINee's BACK] Ep.1 ëˆ„ë‚œ ë„ˆë¬´ ì˜ˆë»(Replay) (ENG SUB),M2,Entertainment,422489,37884,2358,0.0952,0.9977,neutral,CANADA,Wednesday,12,59,37
People Are Awesome & The Pet Collective present: Pets are Awesome!,People are Awesome,Entertainment,155285,4719,207,0.0317,0.9864,positive,US,Monday,13,66,27
73 Questions With Liza Koshy | Vogue,Vogue,Entertainment,5514929,439190,21011,0.0834,0.99,neutral,CANADA,Thursday,13,36,31
"We Sent Garlic Bread to the Edge of Space, Then Ate It",Tom Scott,Education,3033793,104470,15869,0.0397,0.9659,neutral,CANADA,Monday,15,54,13
Carol of the Bells,Gerry Litwin,People & Blogs,3958827,62817,4080,0.0169,0.9235,neutral,US,Friday,3,18,9
r/crappydesign Top Posts of All Time [2],Sorrow TV,Comedy,611139,30911,2747,0.0551,0.9701,positive,CANADA,Sunday,19,40,15
"How 29,000 Lost Rubber Ducks Helped Map the World's Oceans",Half as Interesting,Education,262126,11062,774,0.0452,0.9623,negative,US,Thursday,15,58,19
HUSBAND PICKS MY MAKEUP,Tati,Howto & Style,742486,43812,3527,0.0638,0.982,neutral,US,Monday,17,23,21
10 of the World's Smallest Working Products!,Matthias,Comedy,3259388,105200,17229,0.0376,0.9409,neutral,US,Tuesday,16,44,48
TWICE Merry & Happy M/V,jypentertainment,Music,8903489,371240,22822,0.0443,0.949,positive,GB,Friday,3,23,37
Everything Wrong With The Dark Tower In 17 Minutes Or Less,CinemaSins,Film & Animation,832340,19480,2721,0.0267,0.9768,negative,CANADA,Thursday,17,58,11
THE GUERNSEY LITERARY & POTATO PEEL PIE SOCIETY - Official Trailer - Starring Lily James,StudiocanalUK,Film & Animation,377009,2508,127,0.007,0.9801,neutral,GB,Tuesday,9,88,7
This Is Me - Cover by Shoshana Bean Featuring Travis Wall,Shoshana Bean,Music,52796,3265,150,0.0647,0.9924,neutral,GB,Thursday,8,57,13
í•œêµ­ ì¹˜ë§¥ ì™•ì¤‘ì™•ì „: ì™¸êµ­ì¸ ìž…ë§›ì— ì œì¼ ìž˜ ë§žëŠ” í•œêµ­ ì¹˜í‚¨ì€?!,ì˜êµ­ë‚¨ìž Korean Englishman,Comedy,588820,18319,2214,0.0349,0.9863,neutral,CANADA,Wednesday,11,84,49
"COLLEGE KIDS REACT TO COACHELLA 2018 (Beychella, Eminem, Walmart Yodel Boy)",FBE,Entertainment,1853558,44196,5470,0.0268,0.9599,neutral,US,Friday,21,75,37
"Les petits ponts de Gabriel Jesus, un but en 8 secondes - La Quotidienne #168",TÃ©lÃ©foot,Sports,54918,3210,196,0.062,0.9901,neutral,FRANCE,Thursday,17,77,17
Jurassic World: Fallen Kingdom - Official Trailer #2 [HD],Universal Pictures,Entertainment,23476709,269416,21128,0.0124,0.9726,negative,GB,Sunday,23,57,18
LES NOUVEAUX BRIQUETS TASER EXPERIMENTBOY !,Experimentboy 2,Science & Technology,48240,3758,234,0.0828,0.9771,neutral,FRANCE,Monday,17,43,15
Lucas the Spider - Captured,Lucas the Spider,Film & Animation,4387130,191771,14384,0.047,0.9819,neutral,CANADA,Saturday,7,27,5
r/choosingbeggars Top Posts of All Time [2],Sorrow TV,Comedy,702850,30452,4094,0.0492,0.979,positive,CANADA,Wednesday,19,43,16
Sam Smith surprises brides at their wedding! (At The BBC),BBC Music,Music,1520526,33090,1298,0.0226,0.9651,positive,GB,Thursday,22,57,7
kanye west / charlamagne interview,Kanye West,People & Blogs,5434079,131430,39155,0.0314,0.9012,neutral,FRANCE,Tuesday,15,34,34
"The Howling Mines | Critical Role | Campaign 2, Episode 6",Geek & Sundry,Entertainment,304899,5062,1082,0.0202,0.9846,negative,CANADA,Monday,20,57,15
Sheryl Isako x Innoss'B -  StylÃ© ( clip dispo vendredi 17 novembre Ã  18h30). ÃŠtes vous PrÃªt ???,SHERYL ISAKO OFFICIAL,Music,1619,191,23,0.1321,0.9598,neutral,FRANCE,Thursday,20,99,10
"Becky G, Natti Natasha - Sin Pijama (Official Video)",BeckyGVEVO,Music,139334502,1425496,83941,0.0108,0.9225,negative,GB,Friday,10,52,22
"[BRUT] Tornade dans la Marne, 29 Avril 2018",ChroniquesChaotiques,Entertainment,38575,329,47,0.0097,0.9734,neutral,FRANCE,Monday,0,43,5
Bradley Gawthrop: Wiring Boot Camp,HACKADAY,Science & Technology,2291,72,8,0.0349,0.9863,neutral,US,Friday,19,34,0
CÃ©line Dion - Ashes (from the Deadpool 2 Motion Picture Soundtrack),CelineDionVEVO,Music,12209261,309762,22815,0.0272,0.9744,neutral,GB,Thursday,12,68,4
WHAT â€˜S ON MY IPHONE X ?! | Bilal Hassani et Sparkdise,AwesomenessTV France,Howto & Style,151283,6669,310,0.0461,0.935,neutral,FRANCE,Friday,16,56,29
Embarrassing Phone Calls in the Library (Part 2) PRANK,loveliveserve,Entertainment,474052,51949,4020,0.1181,0.9949,negative,CANADA,Friday,20,54,26
BTS (ë°©íƒ„ì†Œë…„ë‹¨) Meet DJ Khaled Backstage At The 2018 Billboard Music Awards (BBMAs) | Snapchat Update,BTS BEING BTS,Music,131582,9447,404,0.0749,0.9962,positive,CANADA,Sunday,20,107,0
"Falcon Heavy and the Tesla Roadster Orbits, A Prediction",Max Fagin,Science & Technology,55323,260,160,0.0076,0.942,neutral,US,Monday,8,56,7
"Rainbow Paint on a Speaker - 12,500fps - The Slow Mo Guys",The Slow Mo Guys,Entertainment,1158599,45522,3617,0.0424,0.9879,neutral,US,Monday,1,57,33
CNCO - Bonita (Official Video),CNCOVEVO,Music,15090802,392912,36764,0.0285,0.967,neutral,GB,Friday,7,30,27
Adding the fish WE forgot about!,The king of DIY,Pets & Animals,173162,6002,973,0.0403,0.974,neutral,CANADA,Sunday,20,32,9
This is America Music Video | Childish Gambino EXPLAINED (Analysis),thought,Entertainment,746500,15319,1337,0.0223,0.9247,negative,CANADA,Sunday,18,67,14
READY PLAYER ONE - Official Trailer 1 [HD],Warner Bros. Pictures,Entertainment,10693769,165082,27265,0.018,0.9504,positive,CANADA,Sunday,18,42,30
Grey's Anatomy 14x23 Jackson Rushes to April Season 14 Episode 23 HD Cold As Ice,AresPromo,Entertainment,110016,0,20,0.0002,0.0,neutral,FRANCE,Thursday,23,80,13
"Chinese Street Food - ENTIRE BOWL ONE-NOODLE and Halal Beef Salad! | Yunnan, China Day 2",Mark Wiens,Travel & Events,275110,10490,1092,0.0421,0.9782,neutral,CANADA,Wednesday,13,88,21
DUKH (Full Song) Anmol ft. Parmish Verma | M Vee | New Punjabi Songs 2018,Lokdhun Punjabi,Music,392306,23288,1379,0.0629,0.9736,neutral,CANADA,Thursday,4,73,17
Maluma - Hangover (Audio) ft. Prince Royce,MalumaVEVO,Music,2761235,48628,1769,0.0183,0.9591,neutral,FRANCE,Friday,7,42,21
Rich The Kid - Dead Friends,RichTheKidVEVO,Music,5233566,132882,10547,0.0274,0.9365,positive,GB,Monday,16,27,8
Je fais une POINTE EN BMW I8 !,AKRAMJUNIOR DAILY,Autos & Vehicles,76356,3409,376,0.0496,0.969,neutral,FRANCE,Thursday,17,30,3
ã€Šåæ§½å¤§ä¼šã€‹ç¬¬äºŒå­£å®Œæ•´ç‰ˆï¼š[ç¬¬2æœŸ]papié…±åæ§½å¶ç’‡â€œåˆ†è£‚â€ï¼ŒåŽå°‘æŠ¢å¼ ç»åˆšä¸»æŒä¹‹ä½ï¼Ÿ,TencentVideo è…¾è®¯è§†é¢‘,Entertainment,10907,171,93,0.0242,0.9144,neutral,CANADA,Monday,3,115,0
Creating Saturday Night Live: Live Music - SNL,Saturday Night Live,Entertainment,119135,1910,127,0.0171,0.9588,positive,GB,Wednesday,13,46,32
A Quel Point es-tu Intelligent Pour Ton Ã¢ge ? (Test),SYMPA,People & Blogs,11676,741,207,0.0812,0.938,positive,FRANCE,Saturday,17,53,14
An Unforgettable Performance by Panic! At the Disco,TheEllenShow,Entertainment,942463,84072,4391,0.0939,0.9957,negative,GB,Tuesday,13,51,26
1 mois avant NoÃ«l ! - Catherine et Liliane - CANAL+,Catherine et Liliane,Entertainment,9100,206,6,0.0233,0.9904,neutral,FRANCE,Monday,10,52,8
L'amour (est mort) - Tabou #10,Thomas Gauthier,Comedy,86942,14827,770,0.1794,0.9923,neutral,FRANCE,Sunday,10,30,24
Mad Lib Theater with John Cena,The Tonight Show Starring Jimmy Fallon,Comedy,595820,18605,914,0.0328,0.9887,negative,US,Thursday,5,30,35
CHEATER NEEDED PROTECTION FROM THE GANGSTER,BOUNTY HUNTER D,Entertainment,116987,5797,1128,0.0592,0.9825,negative,CANADA,Thursday,23,43,11
Avengers Infinity War Trailer REACTION,Beyond The Trailer,Entertainment,239894,8054,2504,0.044,0.9328,negative,CANADA,Wednesday,14,38,33
The Engineering of the Drinking Bird,engineerguy,Science & Technology,271277,15855,916,0.0618,0.9954,neutral,GB,Tuesday,12,36,7
"Jimmy Kimmel on School Shooting in Parkland, Florida",Jimmy Kimmel Live,Comedy,2482108,66898,26597,0.0377,0.8235,neutral,CANADA,Friday,3,52,29
How to cook BUTTER BEEF - BÃ² BÆ¡,Quang Tran,Entertainment,32642,1470,547,0.0618,0.982,neutral,CANADA,Wednesday,1,33,22
Nordahl Lelandais : les nouveaux soupÃ§ons - C Ã  Vous - 26/04/2018,C Ã  vous,Entertainment,25630,60,24,0.0033,0.8696,neutral,FRANCE,Thursday,18,67,8
When mum gets dad's car wrapped for Valentines Day ðŸš—â¤ï¸,LadBaby Official,People & Blogs,366953,9090,1036,0.0276,0.9761,neutral,GB,Sunday,21,61,35
The problem with online charter schools,Vox,News & Politics,513459,13211,2747,0.0311,0.9159,negative,US,Monday,14,39,31
Malte : Je suis Daphne - Lâ€™Effet Papillon â€“ CANAL+,L'Effet Papillon,Entertainment,15222,186,22,0.0137,0.9637,neutral,FRANCE,Sunday,15,54,9
Dan Stevens Can Make Malt Balls Levitate,The Late Late Show with James Corden,Entertainment,101566,1746,88,0.0181,0.9695,neutral,US,Friday,9,40,26
"Gaunce scores twice as Canucks double up Hawks, 4-2",NHL,Sports,16574,141,53,0.0117,0.8868,neutral,CANADA,Friday,7,51,7
Dil Diyan Gallan Song | Tiger Zinda Hai | Salman Khan | Katrina Kaif | Atif Aslam,YRF,Music,15766864,498384,40008,0.0341,0.9695,neutral,CANADA,Saturday,16,81,23
"Zedd, Maren Morris, Grey - The Middle (Official Music Video)",ZEDDVEVO,Music,10591081,104775,5513,0.0104,0.9172,positive,GB,Monday,3,60,24
The Most Toxic Kiss on Earth | Because Science Live,Because Science,Science & Technology,78012,3538,560,0.0525,0.9825,positive,US,Saturday,0,51,10
"STUDIO TOUR 2018! (Makeup collection, camera equipment & more)âœ¨ðŸ’›ðŸŒ¼",AdelaineMorin,Howto & Style,185283,12411,1077,0.0728,0.9915,neutral,CANADA,Wednesday,3,73,29
How To Be Petty 101,IISuperwomanII,Comedy,1542311,124175,8774,0.0862,0.9846,negative,US,Tuesday,0,19,25
divorce de Mohammed VI et Lalla Salma,ALGERIE NEWS,News & Politics,50898,184,244,0.0084,0.6456,neutral,FRANCE,Thursday,11,37,1
â€œInfinity Warâ€ Cast Reacts To Fan Tweets,BuzzFeed Celeb,People & Blogs,6081291,188056,8022,0.0322,0.9836,positive,US,Tuesday,18,44,20
Forte explosion Ã  Leicester (incident en cours),euronews (en franÃ§ais),News & Politics,3079,24,6,0.0097,0.8889,neutral,FRANCE,Sunday,21,48,1
Jordan Peterson GOTCHA leaves liberal Cathy Newman literally SPEECHLESS+Thug life,miad222,Education,9934,234,27,0.0263,0.9286,neutral,GB,Friday,11,81,4
Wale - Staying Power (Official Music Video),Wale,Music,503967,16919,1480,0.0365,0.9858,neutral,GB,Monday,17,43,38
LES BELGES ONT-ILS UN COEUR ? feat. JIMMY LABEEU,Mcfly & Carlito,Entertainment,2624282,227801,10543,0.0908,0.9902,neutral,FRANCE,Sunday,9,48,17
THE GHOST IN MY HOUSE - Morgan Adams,Morgan Adams,Entertainment,1540207,90236,15397,0.0686,0.9889,negative,GB,Wednesday,18,36,17
YouNess - I Love You (Video Clip Exclusif) / ( 2018 ÙŠÙˆÙ†Ø³ (ÙÙŠØ¯ÙŠÙˆ ÙƒÙ„ÙŠØ¨ Ø­ØµØ±ÙŠ,Youness official channel,Music,1967439,79160,6717,0.0436,0.9756,positive,FRANCE,Thursday,18,90,10
Alonzo - Santana,AlonzoVEVO,Music,670523,38201,1861,0.0597,0.9722,neutral,FRANCE,Tuesday,14,16,25
The Twelfth Doctor Regenerates: Peter Capaldi to Jodie Whittaker - Doctor Who Christmas Special 2017,BBC,Entertainment,915949,14447,5622,0.0219,0.7603,positive,US,Monday,18,100,23
"Calvin Harris, Dua Lipa - One Kiss (ZHU Remix) (Audio)",CalvinHarrisVEVO,Music,11301812,41993,1275,0.0038,0.8412,positive,GB,Friday,4,54,18
Chris Brown - Tempo,ChrisBrownVEVO,Music,3089898,191091,14938,0.0667,0.9785,neutral,CANADA,Friday,15,19,4
Stephen Colbert monologue 12/1/17 : Coffee Joe Calls Trump Cuckoo !,Federica Balsamo,Sports,194896,948,218,0.006,0.8697,neutral,CANADA,Saturday,5,67,0
Emily Blunt Finds The Idea Of Mary Poppins A Little Creepy,The Late Show with Stephen Colbert,People & Blogs,568803,5242,505,0.0101,0.958,neutral,US,Friday,7,58,26
A$AP Rocky - A$AP Forever (Official Video) ft. Moby,LIVELOVEASAPVEVO,Music,21490673,480999,22300,0.0234,0.9791,neutral,GB,Thursday,17,51,12
Guidance par signe : semaine du 27 nov. au 3 dÃ©c. 2017 - Gratitude !,Claire De La Lune,People & Blogs,2724,137,18,0.0569,0.958,positive,FRANCE,Friday,13,69,44
Arctic Monkeys - Tranquility Base Hotel & Casino,ArcticMonkeysVEVO,Music,3236496,112358,7465,0.037,0.9827,positive,GB,Thursday,13,48,23
The Spy Who Dumped Me Trailer #1 (2018) | Movieclips Trailers,Movieclips Trailers,Film & Animation,456798,7165,665,0.0171,0.8456,negative,CANADA,Wednesday,17,61,14
Weird 99 Cent Store Easter Haul,Good Mythical MORE,Entertainment,215350,5796,522,0.0293,0.9882,negative,CANADA,Wednesday,10,31,11
This is iPhone X,iJustine,Science & Technology,1717319,52216,9425,0.0359,0.8609,neutral,GB,Friday,19,16,4
BoA ë³´ì•„ 'ë‚´ê°€ ëŒì•„ (NEGA DOLA)' MV,SMTOWN,Music,701024,70841,3203,0.1056,0.9847,neutral,GB,Thursday,4,41,7
DIY GIANT QUESADILLA + EATING COMPETITION,HellthyJunkFood,Entertainment,116855,5258,789,0.0517,0.9812,neutral,CANADA,Thursday,23,41,11
DORITOS BLAZE vs. MTN DEW ICE | Super Bowl Commercial with Peter Dinklage and Morgan Freeman,DoritosÂ®,Entertainment,2952277,31297,1847,0.0112,0.9769,positive,GB,Tuesday,15,92,0
"âœ¨ FEBRUARY FAVIES ðŸ’˜ Lazy Oaf, Too Faced, Magical Girls and TUNES ðŸ”¥",Pixielocks,People & Blogs,67997,3240,1118,0.0641,0.9207,negative,US,Wednesday,17,74,9
RENTRER LE PLUS LONG TRUC POSSIBLE DANS SA BOUCHE !,gamepley,Gaming,93144,4811,150,0.0533,0.9426,neutral,FRANCE,Sunday,17,51,30
ALL TIME GREATEST AIRPLANE SEAT - Emirates First Class Suite,CaseyNeistat,People & Blogs,5507332,255090,13640,0.0488,0.9759,positive,GB,Monday,23,60,1
Film Theory: Black Panther's Economic CRISIS!,The Film Theorists,Film & Animation,1132801,54491,12134,0.0588,0.9365,negative,FRANCE,Tuesday,20,45,30
Michael J. Woodard Sings Still I Rise by Yolanda Adams - Top 5 - American Idol 2018 on ABC,American Idol,Entertainment,478538,8669,1487,0.0212,0.9799,positive,GB,Monday,2,90,40
QUEL EST MON POSTE AU FOOT ? #3 - ATTAQUANT (Avec Vinsky),YoMax,Gaming,113448,7799,206,0.0706,0.9892,neutral,FRANCE,Sunday,13,57,6
MAKING A DRESS OUT OF TRASH BAGS!,Amber Scholl,Howto & Style,2337429,128770,9405,0.0591,0.9752,neutral,US,Sunday,15,33,11
Agathe Auproux Â« J'aimerais animer une Ã©mission plus culturelle Â» - Salut les Terriens,Salut les terriens !,Entertainment,21270,103,64,0.0079,0.7203,neutral,FRANCE,Wednesday,16,89,10
DIY Giant Human Snow Globe!!! - Man Vs Madness,ThreadBanger,Howto & Style,433341,31245,2577,0.078,0.9905,negative,CANADA,Thursday,22,46,14
Fortnite Daily Best Moments Ep.156 (Fortnite Battle Royale Funny Moments),Daily Fortnite Battle Royale Moments,Gaming,281348,7746,402,0.029,0.9801,positive,FRANCE,Saturday,21,73,18
A TRIBUTE FOR MY NAN,Oli White,Entertainment,311999,27807,4563,0.1038,0.9821,neutral,GB,Wednesday,16,20,14
This Is America: Women's Edit,Nicole Arbour,Entertainment,2850390,0,0,0.0,0.0,neutral,GB,Saturday,22,29,10
